Grid_txt,Latitude,Longitude
386,39.0572,-78.3045
387,39.0568,-78.2859
388,39.0564,-78.2673
389,39.0559,-78.2488
390,39.0555,-78.2302
391,39.0509,-78.0444
392,39.0505,-78.0259
393,39.05,-78.0073
394,39.0495,-77.9887
395,39.049,-77.9701
396,39.0485,-77.9516
397,39.048,-77.933
398,39.0476,-77.9144
399,39.0471,-77.8959
400,39.0466,-77.8773
401,39.0461,-77.8587
402,39.0456,-77.8401
403,39.0451,-77.8216
404,39.0446,-77.803
405,39.044,-77.7844
406,39.0435,-77.7659
407,39.043,-77.7473
408,39.0425,-77.7287
409,39.042,-77.7102
410,39.0414,-77.6916
411,39.0409,-77.673
412,39.0404,-77.6545
413,39.0399,-77.6359
414,39.0393,-77.6173
415,39.0767,-78.527
416,39.0763,-78.5084
417,39.0759,-78.4898
418,39.0755,-78.4712
419,39.0751,-78.4526
420,39.0747,-78.434
421,39.0742,-78.4155
422,39.0738,-78.3969
423,39.0734,-78.3783
424,39.073,-78.3597
425,39.0726,-78.3411
426,39.0722,-78.3225
427,39.0717,-78.304
428,39.0713,-78.2854
429,39.0709,-78.2668
430,39.0704,-78.2482
431,39.07,-78.2296
432,39.0659,-78.0624
433,39.0654,-78.0438
434,39.0649,-78.0252
435,39.0645,-78.0067
436,39.064,-77.9881
437,39.0635,-77.9695
438,39.063,-77.9509
439,39.0625,-77.9324
440,39.062,-77.9138
441,39.0615,-77.8952
442,39.0611,-77.8766
443,39.0606,-77.8581
444,39.06,-77.8395
445,39.0595,-77.8209
446,39.059,-77.8024
447,39.0585,-77.7838
448,39.058,-77.7652
449,39.0575,-77.7466
450,39.057,-77.7281
451,39.0564,-77.7095
452,39.0559,-77.6909
453,39.0554,-77.6724
454,39.0549,-77.6538
455,39.0543,-77.6352
456,39.0538,-77.6167
457,39.0908,-78.5079
458,39.0904,-78.4893
459,39.09,-78.4707
460,39.0896,-78.4521
461,39.0891,-78.4335
462,39.0887,-78.4149
463,39.0883,-78.3963
464,39.0879,-78.3778
465,39.0875,-78.3592
466,39.0871,-78.3406
467,39.0866,-78.322
468,39.0862,-78.3034
469,39.0858,-78.2848
470,39.0853,-78.2662
471,39.0849,-78.2476
472,39.0845,-78.2291
473,39.084,-78.2105
474,39.0813,-78.099
475,39.0808,-78.0804
476,39.0804,-78.0618
477,39.0799,-78.0432
478,39.0794,-78.0246
479,39.0789,-78.0061
480,39.0785,-77.9875
481,39.078,-77.9689
482,39.0775,-77.9503
483,39.077,-77.9317
484,39.0765,-77.9132
485,39.076,-77.8946
486,39.0755,-77.876
487,39.075,-77.8574
488,39.0745,-77.8388
489,39.074,-77.8203
490,39.0735,-77.8017
491,39.073,-77.7831
492,39.0725,-77.7645
493,39.072,-77.746
494,39.0714,-77.7274
495,39.0709,-77.7088
496,39.0704,-77.6902
497,39.0699,-77.6717
498,39.0693,-77.6531
499,39.0688,-77.6345
500,39.0683,-77.616
501,39.1049,-78.4888
502,39.1044,-78.4702
503,39.104,-78.4516
504,39.1036,-78.433
505,39.1032,-78.4144
506,39.1028,-78.3958
507,39.1024,-78.3772
508,39.102,-78.3586
509,39.1015,-78.34
510,39.1011,-78.3214
511,39.1007,-78.3028
512,39.1003,-78.2843
513,39.0998,-78.2657
514,39.0994,-78.2471
515,39.0989,-78.2285
516,39.0985,-78.2099
517,39.0962,-78.117
518,39.0958,-78.0984
519,39.0953,-78.0798
520,39.0948,-78.0612
521,39.0944,-78.0426
522,39.0939,-78.024
523,39.0934,-78.0054
524,39.0929,-77.9869
525,39.0925,-77.9683
526,39.092,-77.9497
527,39.0915,-77.9311
528,39.091,-77.9125
529,39.0905,-77.8939
530,39.09,-77.8754
531,39.0895,-77.8568
532,39.089,-77.8382
533,39.0885,-77.8196
534,39.088,-77.801
535,39.0875,-77.7825
536,39.087,-77.7639
537,39.0864,-77.7453
538,39.0859,-77.7267
539,39.0854,-77.7082
540,39.0849,-77.6896
541,39.0844,-77.671
542,39.0838,-77.6524
543,39.0833,-77.6338
544,39.0827,-77.6153
545,39.0822,-77.5967
546,39.0817,-77.5781
547,39.1189,-78.4697
548,39.1185,-78.4511
549,39.1181,-78.4325
550,39.1177,-78.4139
551,39.1173,-78.3953
552,39.1169,-78.3767
553,39.1165,-78.3581
554,39.116,-78.3395
555,39.1156,-78.3209
556,39.1152,-78.3023
557,39.1147,-78.2837
558,39.1143,-78.2651
559,39.1139,-78.2465
560,39.1134,-78.2279
561,39.113,-78.2093
562,39.1125,-78.1907
563,39.1107,-78.1164
564,39.1103,-78.0978
565,39.1098,-78.0792
566,39.1093,-78.0606
567,39.1089,-78.042
568,39.1084,-78.0234
569,39.1079,-78.0048
570,39.1074,-77.9862
571,39.1069,-77.9677
572,39.1065,-77.9491
573,39.106,-77.9305
574,39.1055,-77.9119
575,39.105,-77.8933
576,39.1045,-77.8747
577,39.104,-77.8561
578,39.1035,-77.8376
579,39.103,-77.819
580,39.1025,-77.8004
581,39.102,-77.7818
582,39.1014,-77.7632
583,39.1009,-77.7446
584,39.1004,-77.7261
585,39.0999,-77.7075
586,39.0994,-77.6889
587,39.0988,-77.6703
588,39.0983,-77.6517
589,39.0978,-77.6332
590,39.0972,-77.6146
591,39.0967,-77.596
592,39.0961,-77.5774
593,39.0956,-77.5588
594,39.095,-77.5403
595,39.133,-78.4505
596,39.1326,-78.4319
597,39.1322,-78.4133
598,39.1318,-78.3947
599,39.1314,-78.3761
600,39.1309,-78.3575
601,39.1305,-78.3389
602,39.1301,-78.3203
603,39.1297,-78.3017
604,39.1292,-78.2831
605,39.1288,-78.2645
606,39.1284,-78.2459
607,39.1279,-78.2273
608,39.1275,-78.2088
609,39.127,-78.1902
610,39.1266,-78.1716
611,39.1252,-78.1158
612,39.1247,-78.0972
613,39.1243,-78.0786
614,39.1238,-78.06
615,39.1233,-78.0414
616,39.1229,-78.0228
617,39.1224,-78.0042
618,39.1219,-77.9856
619,39.1214,-77.967
620,39.1209,-77.9484
621,39.1205,-77.9298
622,39.12,-77.9113
623,39.1195,-77.8927
624,39.119,-77.8741
625,39.1185,-77.8555
626,39.118,-77.8369
627,39.1175,-77.8183
628,39.117,-77.7997
629,39.1164,-77.7811
630,39.1159,-77.7626
631,39.1154,-77.744
632,39.1149,-77.7254
633,39.1144,-77.7068
634,39.1138,-77.6882
635,39.1133,-77.6696
636,39.1128,-77.651
637,39.1122,-77.6325
638,39.1117,-77.6139
639,39.1112,-77.5953
640,39.1106,-77.5767
641,39.1101,-77.5581
642,39.1095,-77.5396
643,39.1471,-78.4314
644,39.1467,-78.4128
645,39.1463,-78.3942
646,39.1459,-78.3756
647,39.1454,-78.357
648,39.145,-78.3384
649,39.1446,-78.3198
650,39.1441,-78.3012
651,39.1437,-78.2826
652,39.1433,-78.264
653,39.1428,-78.2454
654,39.1424,-78.2268
655,39.142,-78.2082
656,39.1415,-78.1896
657,39.1411,-78.171
658,39.1402,-78.1338
659,39.1397,-78.1152
660,39.1392,-78.0966
661,39.1388,-78.078
662,39.1383,-78.0594
663,39.1378,-78.0408
664,39.1374,-78.0222
665,39.1369,-78.0036
666,39.1364,-77.985
667,39.1359,-77.9664
668,39.1354,-77.9478
669,39.1349,-77.9292
670,39.1344,-77.9106
671,39.1339,-77.892
672,39.1335,-77.8734
673,39.133,-77.8549
674,39.1325,-77.8363
675,39.1319,-77.8177
676,39.1314,-77.7991
677,39.1309,-77.7805
678,39.1304,-77.7619
679,39.1299,-77.7433
680,39.1294,-77.7247
681,39.1288,-77.7061
682,39.1283,-77.6875
683,39.1278,-77.669
684,39.1273,-77.6504
685,39.1267,-77.6318
686,39.1262,-77.6132
687,39.1256,-77.5946
688,39.1251,-77.576
689,39.1245,-77.5574
690,39.124,-77.5388
691,39.1616,-78.4309
692,39.1612,-78.4123
693,39.1608,-78.3937
694,39.1603,-78.3751
695,39.1599,-78.3565
696,39.1595,-78.3379
697,39.1591,-78.3192
698,39.1586,-78.3006
699,39.1582,-78.282
700,39.1578,-78.2634
701,39.1573,-78.2448
702,39.1569,-78.2262
703,39.1564,-78.2076
704,39.156,-78.189
705,39.1555,-78.1704
706,39.1551,-78.1518
707,39.1546,-78.1332
708,39.1542,-78.1146
709,39.1537,-78.096
710,39.1532,-78.0774
711,39.1528,-78.0588
712,39.1523,-78.0402
713,39.1518,-78.0216
714,39.1514,-78.003
715,39.1509,-77.9844
716,39.1504,-77.9658
717,39.1499,-77.9472
718,39.1494,-77.9286
719,39.1489,-77.91
720,39.1484,-77.8914
721,39.1479,-77.8728
722,39.1474,-77.8542
723,39.1469,-77.8356
724,39.1464,-77.817
725,39.1459,-77.7984
726,39.1454,-77.7798
727,39.1449,-77.7612
728,39.1444,-77.7426
729,39.1438,-77.724
730,39.1433,-77.7055
731,39.1428,-77.6869
732,39.1423,-77.6683
733,39.1417,-77.6497
734,39.1412,-77.6311
735,39.1407,-77.6125
736,39.1401,-77.5939
737,39.1396,-77.5753
738,39.139,-77.5567
739,39.1385,-77.5381
740,39.1761,-78.4304
741,39.1757,-78.4118
742,39.1752,-78.3931
743,39.1748,-78.3745
744,39.1744,-78.3559
745,39.174,-78.3373
746,39.1736,-78.3187
747,39.1731,-78.3001
748,39.1727,-78.2815
749,39.1723,-78.2629
750,39.1718,-78.2443
751,39.1714,-78.2256
752,39.1709,-78.207
753,39.1705,-78.1884
754,39.17,-78.1698
755,39.1696,-78.1512
756,39.1691,-78.1326
757,39.1687,-78.114
758,39.1682,-78.0954
759,39.1677,-78.0768
760,39.1673,-78.0582
761,39.1668,-78.0396
762,39.1663,-78.021
763,39.1658,-78.0024
764,39.1654,-77.9838
765,39.1649,-77.9652
766,39.1644,-77.9466
767,39.1639,-77.928
768,39.1634,-77.9094
769,39.1629,-77.8908
770,39.1624,-77.8722
771,39.1609,-77.8164
772,39.1604,-77.7978
773,39.1599,-77.7792
774,39.1594,-77.7606
775,39.1588,-77.742
776,39.1583,-77.7234
777,39.1578,-77.7048
778,39.1573,-77.6862
779,39.1567,-77.6676
780,39.1562,-77.649
781,39.1557,-77.6304
782,39.1551,-77.6118
783,39.1546,-77.5932
784,39.154,-77.5746
785,39.1535,-77.556
786,39.1529,-77.5374
787,39.1906,-78.4298
788,39.1901,-78.4112
789,39.1897,-78.3926
790,39.1893,-78.374
791,39.1889,-78.3554
792,39.1885,-78.3368
793,39.188,-78.3181
