Deer.ID,Sample.Date,Year,Month,Origin,Sample,Species,Sex,Age,County,grid,lat,long,status
A00080,10/20/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3,Shenandoah,NA,NA,NA,0
A00091,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2.5,Clarke,NA,NA,NA,0
A00092,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Clarke,NA,NA,NA,0
A00093,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00094,10/21/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,1.5,Shenandoah,NA,NA,NA,0
A00095,10/21/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,1.6,Frederick,NA,NA,NA,0
A00096,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Clarke,NA,NA,NA,0
A00097,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Clarke,NA,NA,NA,0
A00098,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00099,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2.5,Shenandoah,NA,NA,NA,0
A00100,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00101,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00102,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00103,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00106,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00107,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3.5,Frederick,NA,NA,NA,0
A00108,10/21/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2.5,Frederick,NA,NA,NA,0
A03136,10/21/2005,2005,10,Free-Ranging,Targeted-Clinical suspect,White Tailed Deer,Unknown,-,Warren,NA,NA,NA,0
A00130,10/22/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00104,10/24/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,2,Clarke,NA,NA,NA,0
A00105,10/24/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Clarke,NA,NA,NA,0
A00122,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,626,39.118,-77.8369,0
VA00122,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,626,39.118,-77.8369,0
A00123,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00124,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00125,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Shenandoah,NA,NA,NA,0
A00126,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Shenandoah,NA,NA,NA,0
A00127,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Clarke,NA,NA,NA,0
A00128,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Shenandoah,NA,NA,NA,0
A00129,10/25/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00131,10/26/2005,2005,10,Free-Ranging,Targeted - Other,White Tailed Deer,Female,6,Shenandoah,NA,NA,NA,0
A00132,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00133,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2.5,Clarke,NA,NA,NA,0
A00134,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00135,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00136,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00137,10/26/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,2,Frederick,NA,NA,NA,0
A00138,10/27/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Frederick,NA,NA,NA,0
A00139,10/27/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00140,10/27/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
